anio,edad_mujer_grupo,edad_hombre_grupo,valor
2013,25 - 29,35-39,48
2013,25 - 29,40-44,15
2013,25 - 29,45-49,4
2013,25 - 29,50-54,0
2013,25 - 29,55-59,1
2013,25 - 29,60 y más,2
2013,25 - 29,Ignorado,63
2013,25 - 29,Menos de 15,0
2013,30 - 34,15-19,0
2013,30 - 34,20-24,5
2013,30 - 34,25-29,29
2013,30 - 34,30-34,151
2013,30 - 34,35-39,86
2013,30 - 34,40-44,29
2013,30 - 34,45-49,8
2013,30 - 34,50-54,4
2013,30 - 34,55-59,1
2013,30 - 34,60 y más,3
2013,30 - 34,Ignorado,67
2013,30 - 34,Menos de 15,0
2013,35 - 39,15-19,0
2013,35 - 39,20-24,3
2013,35 - 39,25-29,11
2013,35 - 39,30-34,24
2013,35 - 39,35-39,85
2013,35 - 39,40-44,54
2013,35 - 39,45-49,17
2013,35 - 39,50-54,12
2013,35 - 39,55-59,3
2013,35 - 39,60 y más,4
2013,35 - 39,Ignorado,50
2013,35 - 39,Menos de 15,0
2013,40 - 44,15-19,0
2013,40 - 44,20-24,0
2013,40 - 44,25-29,3
2013,40 - 44,30-34,5
2013,40 - 44,35-39,4
2013,40 - 44,40-44,40
2013,40 - 44,45-49,40
2013,40 - 44,50-54,10
2013,40 - 44,55-59,5
2013,40 - 44,60 y más,1
2013,40 - 44,Ignorado,38
2013,40 - 44,Menos de 15,0
2013,45 - 49,15-19,0
2013,45 - 49,20-24,0
2013,45 - 49,25-29,0
2013,45 - 49,30-34,0
2013,45 - 49,35-39,2
2013,45 - 49,40-44,12
2013,45 - 49,45-49,30
2013,45 - 49,50-54,22
2013,45 - 49,55-59,7
2013,45 - 49,60 y más,5
2013,45 - 49,Ignorado,22
2013,45 - 49,Menos de 15,0
2013,50 - 54,15-19,0
2013,50 - 54,20-24,0
2013,50 - 54,25-29,0
2013,50 - 54,30-34,0
2013,50 - 54,35-39,0
2013,50 - 54,40-44,0
2013,50 - 54,45-49,3
2013,50 - 54,50-54,13
2013,50 - 54,55-59,10
2013,50 - 54,60 y más,10
2013,50 - 54,Ignorado,19
2013,50 - 54,Menos de 15,0
2013,55 - 59,15-19,0
2013,55 - 59,20-24,0
2013,55 - 59,25-29,0
2013,55 - 59,30-34,0
2013,55 - 59,35-39,0
2013,55 - 59,40-44,1
2013,55 - 59,45-49,2
2013,55 - 59,50-54,3
2013,55 - 59,55-59,9
2013,55 - 59,60 y más,13
2013,55 - 59,Ignorado,9
2013,55 - 59,Menos de 15,0
2013,60 y más,15-19,0
2013,60 y más,20-24,0
2013,60 y más,25-29,0
2013,60 y más,30-34,0
2013,60 y más,35-39,0
2013,60 y más,40-44,0
2013,60 y más,45-49,0
